date,pe_ttm,dividend_yield_ttm,erp,pe_ttm_mean,pe_ttm_std,pe_ttm_pctile,erp_mean,erp_std,erp_pctile,cn10y
2024-05-30,9.409,4.052,8.3455,10.41251332858161,1.8122824716774963,34.034212401995724,6.616252534515107,1.6812901266362965,85.03597122302158,2.2826
2024-05-31,9.3347,4.0924,8.4201,10.41212935518347,1.8120737838272154,31.45707160669754,6.6169011671887805,1.681335676640997,86.04818410643654,2.2926
2024-06-03,9.5039,3.9996,8.2367,10.411805911680911,1.8118321326832258,37.03703703703704,6.617483409759885,1.6813138608320992,83.1056793673616,2.2853
2024-06-04,9.5095,4.0029,8.2304,10.411484692061231,1.8115895680249332,37.237451050195794,6.618062970158821,1.6812896838588207,82.96802012217032,2.2854
2024-06-05,9.4861,4.0901,8.2609,10.41115537366548,1.811351285690377,36.69039145907473,6.6186530696666654,1.6812759261761732,83.44109195402298,2.2808
2024-06-06,9.5126,4.3056,8.2296,10.410835716826751,1.811108337288705,37.353255069370334,6.619231506625494,1.6812511018781635,82.9084380610413,2.2828
2024-06-07,9.4711,4.4119,8.2751,10.41050152916074,1.8108729596200677,36.095305832147936,6.619825859997128,1.6812419547993622,83.81191672648959,2.2833
2024-06-11,9.3592,3.9654,8.4056,10.41012779950231,1.8106595170249375,32.10095982936367,6.620466611392894,1.6812805053313067,85.7194115536419,2.2791
2024-06-12,9.2619,4.2279,8.5209,10.409719758351102,1.8104671168164603,28.464818763326228,6.621148258949785,1.681364093924269,87.44619799139168,2.276
2024-06-13,9.3337,4.2994,8.4461,10.409337513321493,1.8102590798905862,31.367673179396093,6.621802598046611,1.6814176476407159,86.37504481893151,2.2678
2024-06-14,9.2734,4.3257,8.5277,10.408934126420455,1.810064163244088,29.048295454545453,6.622485715394982,1.681503336252914,87.59856630824373,2.2558
2024-06-17,9.2546,4.262,8.5445,10.408524352147674,1.8098734945631205,28.150514731984384,6.623174362576854,1.681595529322359,87.8538158366177,2.2609
